timesta
25/02/2008 00:20:14;HallBedroomDoor;HallBedroomDoor;ON;None
25/02/2008 09:33:41;HallBedroomDoor;HallBedroomDoor;ON;GoToBed
25/02/2008 09:33:47;HallBedroomDoor;HallBedroomDoor;ON;GoToBed
25/02/2008 09:36:43;HallToiletDoor;HallToiletDoor;ON;None
25/02/2008 09:37:20;HallBathroomDoor;HallBathroomDoor;ON;UseToilet
25/02/2008 09:37:51;ToiletFlush;ToiletFlush;ON;UseToilet
25/02/2008 09:37:55;ToiletFlush;ToiletFlush;ON;UseToilet
25/02/2008 09:37:58;HallBathroomDoor;HallBathroomDoor;ON;UseToilet
25/02/2008 09:49:27;PlatesCupboard;PlatesCupboard;ON;PrepareBreakfast
25/02/2008 09:49:31;PlatesCupboard;PlatesCupboard;ON;PrepareBreakfast
25/02/2008 09:49:39;Fridge;Fridge;ON;PrepareBreakfast
25/02/2008 09:49:53;Fridge;Fridge;ON;PrepareBreakfast
25/02/2008 09:49:58;Microwave;Microwave;ON;PrepareBreakfast
25/02/2008 09:50:39;GroceriesCupboard;GroceriesCupboard;ON;PrepareBreakfast
25/02/2008 09:52:11;Microwave;Microwave;ON;PrepareBreakfast
25/02/2008 09:53:22;GroceriesCupboard;GroceriesCupboard;ON;PrepareBreakfast
25/02/2008 09:57:24;Dishwasher;Dishwasher;ON;None
25/02/2008 09:57:45;PlatesCupboard;PlatesCupboard;ON;None
25/02/2008 09:58:33;PansCupboard;PansCupboard;ON;None
25/02/2008 09:59:17;CupsCupboard;CupsCupboard;ON;None
25/02/2008 10:00:00;PlatesCupboard;PlatesCupboard;ON;None
25/02/2008 10:02:31;HallToiletDoor;HallToiletDoor;ON;TakeShower
25/02/2008 10:10:15;HallToiletDoor;HallToiletDoor;ON;TakeShower
25/02/2008 10:10:20;HallToiletDoor;HallToiletDoor;ON;TakeShower
25/02/2008 10:19:28;Frontdoor;Frontdoor;ON;LeaveHouse
25/02/2008 16:54:37;Frontdoor;Frontdoor;ON;LeaveHouse
25/02/2008 16:59:04;Fridge;Fridge;ON;None
25/02/2008 16:59:14;GroceriesCupboard;GroceriesCupboard;ON;None
25/02/2008 16:59:48;Fridge;Fridge;ON;None
25/02/2008 17:00:33;HallBathroomDoor;HallBathroomDoor;ON;UseToilet
25/02/2008 17:01:22;ToiletFlush;ToiletFlush;ON;UseToilet
